"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"                Scotland","","","","","1,209","±841","","","7,306","±1,392","991","±572","1,441","±450","","","","","6,408","±1,464","1,879","±752","","","","","1,494","±739","249","±235","","","","","172","±167","","","","","344","±222","1,801","±819","1,166","±446","220","±179","","","382","±224","","","","","987","±585","","","2,218","±717","","","3,128","±969","1,561","±745","","","824","±528","124","±140","742","±359","1,811","±770","","","482","±298","","","512","±421","5,005","±1,592","209","±217","","","1,507","±665","1,831","±714","","","380","±314","","","",""
"            Other Northern Europe","","","","","264","±268","","","3,304","±968","440","±303","268","±320","","","","","3,526","±1,054","813","±488","","","","","532","±334","83","±134","","","","","75","±126","","","","","516","±333","1,020","±501","629","±413","537","±480","","","0","±197","","","","","76","±72","","","556","±350","","","1,537","±594","1,061","±615","","","256","±236","24","±41","122","±148","238","±207","","","263","±225","","","145","±226","745","±344","78","±93","","","482","±260","677","±463","","","238","±176","","","",""
"        Western Europe:","","","","","21,424","±3,387","","","149,907","±7,686","20,190","±2,750","11,481","±1,773","","","","","85,733","±6,377","25,891","±3,050","","","","","29,649","±3,700","8,410","±1,636","","","","","6,262","±1,129","","","","","18,278","±2,335","23,809","±3,148","24,218","±2,551","6,970","±1,177","","","9,891","±1,581","","","","","11,271","±2,081","","","31,166","±2,726","","","82,500","±6,284","27,262","±3,044","","","19,482","±2,375","6,852","±1,182","13,318","±2,070","25,031","±2,479","","","14,901","±2,417","","","10,201","±1,368","62,224","±5,386","7,385","±1,588","","","30,284","±3,585","30,486","±3,441","","","11,436","±1,411","","","",""
"            Austria","","","","","1,421","±743","","","5,893","±1,432","482","±271","340","±308","","","","","4,143","±1,419","496","±284","","","","","1,633","±609","551","±766","","","","","86","±109","","","","","522","±380","412","±204","614","±361","25","±28","","","871","±696","","","","","608","±500","","","1,968","±796","","","5,293","±1,807","814","±601","","","1,686","±640","432","±312","1,071","±733","1,160","±417","","","405","±268","","","279","±209","2,164","±830","281","±245","","","777","±405","931","±395","","","557","±278","","","",""
"            Belgium","","","","","1,032","±1,262","","","5,856","±1,298","324","±313","533","±347","","","","","3,993","±1,409","941","±444","","","","","1,026","±639","88","±149","","","","","401","±261","","","","","936","±538","1,606","±724","584","±346","87","±82","","","278","±354","","","","","640","±664","","","960","±456","","","4,096","±1,093","600","±445","","","95","±149","141","±132","103","±115","1,366","±680","","","507","±381","","","271","±243","1,258","±596","429","±400","","","1,222","±668","910","±498","","","56","±66","","","",""
"            France","","","","","3,106","±1,157","","","41,033","±5,113","2,893","±977","3,026","±1,032","","","","","18,473","±2,971","3,360","±1,041","","","","","4,836","±1,140","1,079","±459","","","","","1,305","±494","","","","","5,082","±1,561","6,857","±1,506","3,318","±929","1,261","±506","","","744","±374","","","","","2,411","±1,111","","","5,475","±1,284","","","27,176","±4,099","4,335","±1,293","","","1,593","±736","490","±293","2,380","±983","4,060","±1,008","","","2,305","±699","","","746","±372","12,627","±2,505","944","±683","","","6,068","±1,892","4,132","±1,005","","","1,580","±657","","","",""
"            Germany","","","","","12,541","±2,023","","","72,291","±5,101","14,061","±2,292","5,623","±1,081","","","","","48,313","±4,266","16,615","±2,325","","","","","18,189","±2,411","5,254","±1,291","","","","","3,831","±837","","","","","9,721","±1,693","11,445","±2,076","16,479","±2,328","3,974","±854","","","7,051","±1,415","","","","","6,284","±1,579","","","14,640","±2,037","","","36,391","±4,260","17,993","±2,496","","","14,104","±2,102","5,231","±923","7,521","±1,659","16,316","±1,829","","","10,771","±2,354","","","7,884","±1,301","38,045","±3,393","3,959","±1,161","","","18,395","±2,752","20,264","±3,205","","","7,441","±1,223","","","",""
"            Netherlands","","","","","2,007","±677","","","16,762","±2,130","1,418","±621","1,188","±583","","","","","5,706","±1,159","4,099","±1,518","","","","","2,143","±776","1,136","±575","","","","","517","±468","","","","","1,169","±521","1,707","±835","3,007","±662","1,012","±570","","","613","±367","","","","","1,136","±580","","","3,293","±954","","","5,446","±1,271","2,726","±947","","","1,296","±544","404","±448","1,808","±667","1,334","±502","","","535","±394","","","908","±467","6,827","±2,414","1,038","±455","","","2,557","±923","3,189","±958","","","1,058","±503","","","",""
"            Switzerland","","","","","1,277","±1,007","","","7,645","±1,493","1,012","±516","771","±374","","","","","5,058","±1,536","380","±262","","","","","1,767","±1,369","302","±283","","","","","122","±158","","","","","528","±337","1,782","±686","216","±150","573","±257","","","334","±252","","","","","153","±148","","","4,629","±897","","","4,010","±1,071","693","±252","","","606","±419","154","±106","435","±426","690","±383","","","378","±443","","","91","±143","1,165","±530","734","±405","","","1,028","±385","896","±476","","","691","±364","","","",""
"            Other Western Europe","","","","","40","±67","","","427","±248","0","±220","0","±222","","","","","47","±80","0","±226","","","","","55","±96","0","±208","","","","","0","±206","","","","","320","±542","0","±225","0","±184","38","±62","","","0","±197","","","","","39","±65","","","201","±251","","","88","±148","101","±140","","","102","±125","0","±165","0","±217","105","±179","","","0","±225","","","22","±39","138","±117","0","±206","","","237","±385","164","±194","","","53","±87","","","",""
