"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Bosnia and Herzegovina","","","","","4,654","±1,830","","","8,135","±2,702","388","±321","2,024","±1,117","","","","","6,299","±2,461","5,839","±2,714","","","","","6,862","±2,244","1,205","±614","","","","","2,985","±1,544","","","","","287","±420","1,631","±883","3,389","±1,246","2,173","±1,113","","","10,981","±3,148","","","","","886","±597","","","3,396","±2,033","","","9,339","±3,008","2,225","±1,640","","","4,055","±1,268","161","±195","1,240","±1,171","2,100","±832","","","231","±254","","","255","±239","5,399","±1,938","1,573","±1,371","","","1,987","±983","4,334","±2,133","","","728","±476","","","",""
"            Bulgaria","","","","","1,152","±708","","","8,696","±2,555","1,252","±755","644","±693","","","","","5,937","±1,817","3,308","±1,528","","","","","14,767","±3,247","986","±1,018","","","","","755","±672","","","","","1,440","±819","3,050","±1,466","2,531","±2,108","1,021","±544","","","1,009","±671","","","","","1,625","±697","","","3,208","±1,179","","","2,999","±1,059","966","±472","","","973","±476","294","±351","618","±622","2,208","±1,152","","","561","±709","","","238","±315","2,395","±940","388","±347","","","1,630","±926","3,096","±1,026","","","535","±452","","","",""
"            Croatia","","","","","858","±691","","","4,453","±1,279","181","±179","858","±888","","","","","2,672","±923","315","±231","","","","","2,752","±1,061","226","±195","","","","","564","±460","","","","","130","±159","535","±427","595","±298","130","±16","","","706","±497","","","","","349","±297","","","2,577","±1,065","","","5,386","±1,597","531","±390","","","2,285","±857","0","±165","209","±276","864","±539","","","53","±94","","","197","±182","3,511","±2,742","200","±263","","","562","±357","1,148","±805","","","879","±430","","","",""
"            Czechoslovakia (includes Czech Republic and Slovakia)","","","","","2,302","±1,325","","","8,793","±1,693","1,397","±633","1,565","±919","","","","","7,442","±1,821","927","±587","","","","","4,050","±1,218","658","±387","","","","","68","±110","","","","","1,034","±502","972","±505","1,240","±548","876","±537","","","222","±273","","","","","947","±484","","","3,986","±1,372","","","8,372","±2,036","1,548","±1,029","","","1,512","±847","239","±180","595","±408","2,903","±1,383","","","375","±326","","","165","±163","4,357","±1,220","135","±142","","","1,436","±567","1,949","±663","","","739","±559","","","",""
"            Hungary","","","","","1,610","±903","","","9,096","±2,210","1,068","±773","643","±350","","","","","11,412","±2,153","1,021","±722","","","","","2,472","±1,184","452","±322","","","","","182","±197","","","","","2,189","±926","1,051","±444","692","±334","446","±453","","","221","±208","","","","","1,220","±586","","","4,205","±1,087","","","9,738","±1,880","1,090","±628","","","2,162","±766","122","±110","891","±623","1,495","±572","","","596","±377","","","363","±316","2,325","±1,039","96","±118","","","1,054","±581","769","±366","","","1,070","±563","","","",""
"            Latvia","","","","","314","±265","","","3,879","±1,209","580","±523","109","±111","","","","","856","±521","742","±608","","","","","957","±401","814","±924","","","","","194","±184","","","","","469","±352","469","±376","539","±312","146","±135","","","765","±640","","","","","47","±75","","","1,310","±810","","","2,026","±663","600","±415","","","372","±327","0","±165","60","±102","675","±393","","","521","±486","","","40","±68","497","±387","0","±206","","","233","±176","815","±478","","","387","±216","","","",""
"            Lithuania","","","","","150","±157","","","2,279","±871","237","±232","536","±380","","","","","1,615","±666","758","±527","","","","","10,405","±3,186","274","±230","","","","","44","±70","","","","","1,374","±927","1,278","±807","526","±337","173","±209","","","8","±13","","","","","582","±531","","","818","±482","","","5,504","±2,461","186","±177","","","361","±317","60","±102","126","±160","543","±395","","","308","±268","","","198","±160","1,806","±1,019","169","±280","","","487","±269","614","±317","","","361","±265","","","",""
"            Moldova","","","","","819","±497","","","9,512","±2,330","310","±301","211","±240","","","","","3,523","±1,424","786","±632","","","","","4,380","±1,530","308","±314","","","","","0","±206","","","","","851","±625","1,600","±1,109","397","±310","789","±596","","","280","±166","","","","","291","±410","","","2,386","±1,000","","","4,395","±1,161","2,457","±1,274","","","818","±457","139","±160","381","±281","1,337","±731","","","1,693","±1,268","","","129","±152","759","±518","0","±206","","","1,008","±554","5,328","±2,237","","","282","±239","","","",""
"            North Macedonia (Macedonia)","","","","","121","±157","","","902","±471","57","±92","607","±620","","","","","1,216","±590","0","±226","","","","","5,033","±1,621","1,267","±679","","","","","0","±206","","","","","0","±225","1,001","±863","3,205","±1,047","15","±23","","","0","±197","","","","","188","±310","","","6,090","±2,024","","","5,537","±2,900","204","±202","","","683","±378","262","±414","0","±217","253","±419","","","0","±225","","","280","±473","852","±802","60","±100","","","468","±393","94","±110","","","447","±336","","","",""
"            Poland","","","","","4,522","±1,478","","","21,087","±2,690","4,471","±1,455","21,771","±3,655","","","","","24,636","±3,475","3,007","±1,267","","","","","120,468","±8,496","2,746","±1,290","","","","","393","±343","","","","","2,784","±896","10,939","±2,006","11,978","±2,812","1,782","±786","","","1,717","±699","","","","","2,313","±953","","","43,396","±5,139","","","53,260","±5,779","3,536","±886","","","3,043","±835","248","±179","1,281","±565","11,124","±2,034","","","2,325","±1,023","","","1,099","±628","7,665","±1,734","394","±333","","","3,053","±1,047","4,376","±1,468","","","4,058","±1,223","","","",""
"            Romania","","","","","6,659","±2,352","","","23,436","±3,783","1,374","±664","2,271","±942","","","","","12,905","±2,493","4,518","±1,639","","","","","14,135","±2,892","1,374","±596","","","","","312","±248","","","","","2,114","±1,104","2,921","±1,102","10,460","±2,130","1,076","±597","","","1,776","±1,526","","","","","1,855","±1,012","","","7,705","±2,032","","","13,247","±2,122","3,094","±1,104","","","4,425","±1,316","329","±265","1,935","±929","3,866","±981","","","1,905","±995","","","2,741","±1,277","8,614","±2,270","472","±302","","","2,740","±928","6,431","±1,485","","","1,087","±479","","","",""
"            Russia","","","","","5,413","±1,486","","","85,204","±6,846","6,816","±1,600","5,778","±2,658","","","","","38,856","±5,776","8,644","±2,350","","","","","18,698","±4,491","3,248","±1,218","","","","","1,415","±731","","","","","8,207","±2,257","17,204","±3,400","5,481","±1,380","8,139","±1,994","","","4,040","±2,272","","","","","3,605","±1,206","","","17,237","±3,141","","","62,427","±6,220","7,311","±2,290","","","6,898","±1,785","1,728","±782","5,328","±1,419","16,794","±3,330","","","3,651","±1,259","","","3,917","±1,253","18,831","±4,114","2,351","±925","","","9,699","±2,338","21,048","±4,131","","","3,349","±875","","","",""
"            Serbia","","","","","1,202","±755","","","3,894","±1,211","253","±217","880","±992","","","","","3,150","±1,063","744","±476","","","","","6,697","±1,981","679","±613","","","","","81","±100","","","","","860","±533","809","±444","698","±394","11","±22","","","185","±169","","","","","564","±387","","","2,550","±1,561","","","5,150","±2,140","519","±438","","","1,167","±796","121","±160","0","±217","1,694","±755","","","154","±237","","","891","±760","3,579","±1,804","95","±156","","","465","±363","704","±499","","","221","±168","","","",""
"            Ukraine","","","","","1,696","±639","","","69,834","±6,254","6,445","±2,186","5,195","±2,139","","","","","29,222","±4,709","5,857","±2,092","","","","","39,266","±6,492","2,838","±1,131","","","","","2,382","±913","","","","","7,344","±2,105","10,306","±2,458","8,884","±3,258","4,959","±1,335","","","4,850","±1,426","","","","","2,372","±1,264","","","25,124","±3,370","","","86,292","±7,613","8,658","±2,947","","","15,695","±3,946","1,269","±591","7,997","±2,382","23,045","±4,231","","","9,143","±2,737","","","4,838","±2,028","18,962","±4,118","1,382","±680","","","7,197","±2,151","36,466","±5,746","","","2,008","±810","","","",""
"            Other Eastern Europe","","","","","1,264","±648","","","15,066","±2,506","1,690","±1,058","2,531","±1,053","","","","","12,890","±2,875","1,706","±707","","","","","7,166","±1,509","1,266","±657","","","","","1,302","±845","","","","","2,109","±829","6,706","±2,177","9,931","±2,392","870","±542","","","1,610","±949","","","","","1,774","±1,514","","","10,919","±2,764","","","47,057","±6,489","2,015","±776","","","3,660","±1,233","448","±348","1,765","±817","15,553","±4,208","","","278","±276","","","897","±614","3,861","±1,423","805","±395","","","2,547","±917","6,585","±2,048","","","1,796","±744","","","",""
"        Europe, n.e.c.","","","","","33","±55","","","1,879","±806","0","±220","0","±222","","","","","2,618","±1,625","475","±359","","","","","1,632","±1,110","187","±230","","","","","174","±295","","","","","584","±432","255","±294","59","±93","0","±157","","","506","±588","","","","","0","±232","","","957","±712","","","1,607","±926","515","±433","","","397","±597","0","±165","338","±357","13","±22","","","51","±84","","","60","±99","465","±522","0","±206","","","317","±380","453","±451","","","0","±159","","","",""
"    Asia:","","","","","209,716","±7,849","","","4,309,404","±31,414","135,395","±6,053","135,303","±5,092","","","","","523,376","±12,896","377,602","±8,141","","","","","578,552","±10,824","136,859","±5,517","","","","","51,880","±3,145","","","","","312,476","±8,988","378,123","±8,071","374,958","±12,868","173,322","±6,556","","","103,790","±4,723","","","","","196,600","±7,498","","","702,075","±10,428","","","1,330,190","±16,695","263,548","±7,569","","","259,426","±8,360","66,659","±2,980","134,734","±5,829","376,696","±9,949","","","68,296","±3,737","","","104,475","±5,002","1,306,855","±19,054","63,283","±4,313","","","485,326","±9,675","552,746","±9,506","","","104,752","±4,450","","","",""
"        Eastern Asia:","","","","","44,420","±4,861","","","1,400,260","±21,962","40,919","±4,001","36,107","±3,717","","","","","95,334","±6,779","101,735","±6,029","","","","","141,001","±7,730","32,274","±3,672","","","","","12,441","±2,277","","","","","95,247","±5,641","140,879","±6,760","67,172","±5,295","32,770","±3,483","","","30,695","±3,828","","","","","47,675","±4,432","","","188,577","±8,676","","","591,647","±13,299","55,304","±4,488","","","56,422","±4,713","12,231","±1,807","44,189","±4,702","113,453","±7,140","","","13,308","±2,934","","","22,866","±2,660","240,712","±11,153","18,475","±2,308","","","111,816","±6,345","191,994","±9,338","","","21,632","±3,208","","","",""
"            China:","","","","","25,648","±3,778","","","977,547","±17,525","19,890","±2,530","26,852","±3,478","","","","","67,221","±6,155","50,129","±5,107","","","","","91,098","±6,364","19,194","±2,722","","","","","5,849","±1,168","","","","","57,106","±5,161","115,748","±6,455","38,219","±3,867","17,718","±2,729","","","20,226","±3,541","","","","","27,486","±3,451","","","109,976","±7,077","","","477,371","±13,208","34,841","±3,373","","","34,721","±3,772","7,718","±1,493","27,427","±3,918","82,486","±5,553","","","7,298","±2,176","","","14,014","±2,537","160,589","±9,444","12,342","±1,866","","","50,674","±4,965","124,160","±8,206","","","13,071","±2,531","","","",""
"                China, excluding Hong Kong and Taiwan","","","","","19,803","±3,479","","","693,599","±15,984","16,978","±2,571","23,668","±3,477","","","","","54,648","±5,972","41,072","±4,588","","","","","77,051","±6,583","16,139","±2,578","","","","","5,127","±1,100","","","","","43,298","±4,869","96,392","±5,672","30,914","±3,411","13,724","±2,225","","","16,832","±3,435","","","","","20,381","±3,064","","","82,854","±6,493","","","402,333","±12,264","28,373","±3,163","","","28,736","±3,711","6,533","±1,284","19,125","±3,251","72,104","±5,453","","","5,020","±1,573","","","12,922","±2,456","120,624","±9,096","9,344","±1,570","","","40,212","±4,422","95,020","±7,527","","","10,933","±2,248","","","",""
"                Hong Kong","","","","","2,287","±953","","","101,851","±6,309","538","±397","1,127","±498","","","","","5,292","±1,428","2,330","±934","","","","","5,367","±1,414","1,151","±546","","","","","153","±127","","","","","3,460","±1,103","10,177","±2,061","2,237","±1,140","1,842","±956","","","471","±419","","","","","2,163","±679","","","9,769","±1,864","","","44,570","±5,569","1,595","±604","","","1,812","±656","418","±337","2,263","±966","3,983","±1,238","","","598","±473","","","552","±318","11,702","±2,761","630","±333","","","3,989","±1,132","10,975","±2,025","","","686","±435","","","",""
"                Taiwan","","","","","3,558","±1,191","","","182,097","±8,454","2,374","±791","2,057","±705","","","","","7,281","±1,401","6,727","±1,364","","","","","8,680","±1,681","1,904","±720","","","","","569","±334","","","","","10,348","±2,249","9,179","±1,830","5,068","±1,246","2,152","±944","","","2,923","±998","","","","","4,942","±1,211","","","17,353","±2,631","","","30,468","±3,654","4,873","±1,563","","","4,173","±1,216","767","±359","6,039","±1,654","6,399","±1,590","","","1,680","±1,063","","","540","±412","28,263","±3,386","2,368","±823","","","6,473","±1,424","18,165","±2,706","","","1,452","±592","","","",""
"            Japan","","","","","5,516","±1,368","","","96,923","±7,164","4,680","±1,220","2,697","±982","","","","","11,628","±2,545","6,716","±1,674","","","","","7,848","±1,958","5,768","±1,955","","","","","3,422","±1,167","","","","","5,667","±1,460","7,277","±1,627","9,013","±2,198","3,957","±1,530","","","3,754","±1,626","","","","","5,552","±1,707","","","11,879","±2,929","","","26,258","±3,287","5,161","±1,385","","","9,158","±2,228","1,291","±452","7,143","±1,646","3,889","±931","","","2,365","±1,005","","","2,778","±806","17,937","±2,910","2,333","±765","","","9,765","±2,035","16,922","±2,352","","","1,503","±602","","","",""
"            Korea","","","","","13,256","±2,750","","","315,737","±14,750","13,992","±2,112","6,205","±1,549","","","","","16,403","±2,664","44,890","±4,324","","","","","37,725","±4,417","7,206","±1,571","","","","","3,170","±1,387","","","","","31,670","±3,617","17,768","±2,959","19,874","±3,151","11,057","±1,812","","","6,715","±1,845","","","","","14,637","±2,796","","","66,588","±6,231","","","87,864","±7,252","15,302","±2,825","","","12,021","±2,442","3,149","±727","9,561","±1,832","26,473","±3,318","","","3,645","±1,617","","","6,043","±1,626","61,769","±4,614","3,230","±989","","","48,842","±4,481","48,478","±5,326","","","6,719","±1,503","","","",""
"            Other Eastern Asia","","","","","0","±232","","","10,053","±4,200","2,357","±1,901","353","±406","","","","","82","±135","0","±226","","","","","4,330","±1,622","106","±141","","","","","0","±206","","","","","804","±719","86","±115","66","±113","38","±65","","","0","±197","","","","","0","±232","","","134","±170","","","154","±160","0","±222","","","522","±601","73","±130","58","±101","605","±962","","","0","±225","","","31","±105","417","±379","570","±632","","","2,535","±2,277","2,434","±1,509","","","339","±365","","","",""
"        South Central Asia:","","","","","69,962","±8,411","","","983,736","±25,107","45,463","±5,207","63,679","±5,664","","","","","174,691","±9,845","158,178","±7,780","","","","","235,971","±11,233","46,942","±5,164","","","","","17,705","±2,427","","","","","122,422","±7,981","120,516","±8,731","128,303","±6,864","46,337","±5,542","","","34,328","±3,953","","","","","21,596","±3,922","","","332,592","±11,350","","","445,807","±13,843","120,423","±7,712","","","117,026","±8,754","18,188","±2,689","29,546","±4,038","160,156","±9,836","","","25,706","±3,464","","","39,251","±4,584","588,346","±20,322","18,452","±3,618","","","212,957","±10,902","161,833","±9,954","","","32,084","±3,629","","","",""
"            Afghanistan","","","","","2,136","±1,255","","","78,590","±9,350","5,208","±2,526","1,422","±1,188","","","","","1,617","±1,625","10,012","±3,337","","","","","5,082","±3,396","1,837","±1,054","","","","","102","±167","","","","","4,079","±1,986","3,678","±2,514","2,342","±1,431","2,009","±2,138","","","2,371","±1,558","","","","","1,245","±908","","","2,136","±1,125","","","6,821","±2,821","4,212","±2,654","","","2,001","±1,588","2,267","±1,154","1,751","±1,346","1,926","±1,048","","","89","±155","","","920","±978","25,033","±7,763","1,790","±1,209","","","29,739","±6,329","7,372","±3,035","","","1,384","±1,359","","","",""
"            Bangladesh","","","","","1,441","±1,018","","","22,006","±5,076","1,116","±991","7,489","±3,063","","","","","9,941","±2,742","11,394","±2,832","","","","","3,116","±1,639","712","±619","","","","","514","±618","","","","","10,699","±2,722","3,545","±1,371","25,813","±4,781","1,824","±1,033","","","180","±152","","","","","1,238","±862","","","16,645","±3,400","","","137,894","±9,899","3,948","±1,794","","","4,944","±1,917","1,428","±729","1,352","±782","10,954","±3,162","","","653","±673","","","3,404","±1,893","24,400","±4,420","397","±363","","","13,212","±3,471","2,374","±1,334","","","1,263","±746","","","",""
"            Bhutan","","","","","285","±311","","","297","±291","306","±392","0","±222","","","","","0","±243","1,729","±1,504","","","","","98","±157","0","±208","","","","","1,065","±891","","","","","150","±184","143","±248","1,470","±990","187","±219","","","164","±196","","","","","0","±232","","","0","±225","","","1,837","±845","286","±337","","","11,073","±2,759","0","±165","0","±217","9,676","±2,677","","","0","±225","","","709","±847","2,299","±2,006","1,085","±1,558","","","510","±530","646","±726","","","0","±159","","","",""
"            India","","","","","53,250","±8,119","","","574,498","±19,958","26,107","±4,250","37,327","±4,360","","","","","115,289","±7,964","112,071","±7,218","","","","","171,911","±10,572","35,410","±4,489","","","","","9,205","±1,667","","","","","58,941","±5,189","85,605","±8,191","79,101","±6,551","35,537","±4,947","","","23,552","±3,214","","","","","8,657","±2,433","","","272,003","±11,956","","","147,227","±9,389","90,351","±7,321","","","65,439","±5,721","8,418","±2,048","17,995","±2,924","102,547","±7,374","","","21,738","±3,507","","","26,230","±3,236","381,074","±13,864","10,682","±2,780","","","95,255","±6,696","121,384","±9,110","","","22,259","±2,801","","","",""
"            Iran","","","","","8,100","±3,032","","","204,744","±11,151","3,111","±1,180","3,127","±1,389","","","","","12,695","±3,434","8,808","±1,878","","","","","8,492","±1,992","1,103","±825","","","","","1,877","±821","","","","","13,405","±2,739","8,327","±2,232","4,292","±1,697","1,521","±674","","","2,251","±1,242","","","","","4,554","±1,529","","","5,837","±1,864","","","17,260","±2,748","3,030","±884","","","5,716","±1,779","2,648","±1,057","3,417","±1,235","4,939","±1,547","","","411","±359","","","3,082","±1,442","39,697","±5,915","1,789","±900","","","19,714","±3,415","10,404","±2,178","","","3,316","±1,474","","","",""
"            Kazakhstan","","","","","778","±450","","","7,851","±1,768","1,099","±804","267","±203","","","","","4,127","±1,573","558","±400","","","","","2,634","±1,638","0","±208","","","","","86","±148","","","","","421","±411","3,107","±2,195","128","±177","321","±242","","","230","±228","","","","","290","±324","","","791","±473","","","8,030","±1,972","2,268","±1,152","","","349","±253","109","±147","852","±471","3,102","±1,446","","","618","±378","","","220","±279","4,485","±2,105","135","±156","","","2,144","±1,148","2,956","±1,060","","","322","±378","","","",""
"            Nepal","","","","","556","±424","","","19,505","±4,116","4,465","±1,887","2,900","±1,418","","","","","3,978","±2,313","992","±633","","","","","2,476","±1,187","770","±718","","","","","3,268","±1,583","","","","","10,959","±3,634","6,193","±2,544","2,435","±1,706","2,027","±1,120","","","1,687","±1,066","","","","","616","±522","","","3,253","±1,623","","","16,111","±3,453","7,221","±2,517","","","14,118","±3,990","1,336","±1,076","2,092","±1,212","6,453","±1,712","","","788","±954","","","1,593","±841","30,931","±5,302","1,498","±763","","","10,141","±2,321","5,709","±2,953","","","988","±646","","","",""
"            Pakistan","","","","","1,529","±818","","","52,971","±6,542","1,296","±742","9,342","±3,133","","","","","18,121","±3,990","10,764","±2,891","","","","","34,292","±5,052","5,739","±2,536","","","","","812","±462","","","","","18,920","±3,376","5,881","±1,638","10,590","±2,264","794","±580","","","2,135","±808","","","","","3,161","±2,635","","","24,783","±4,327","","","63,374","±7,723","7,113","±2,370","","","7,978","±2,243","1,711","±707","594","±367","12,368","±3,354","","","881","±618","","","1,790","±907","72,631","±9,245","677","±588","","","37,260","±6,814","4,815","±1,700","","","1,746","±1,110","","","",""
"            Sri Lanka","","","","","581","±394","","","13,325","±2,862","676","±517","1,008","±928","","","","","2,414","±1,073","1,413","±744","","","","","1,596","±1,177","813","±589","","","","","462","±478","","","","","3,171","±1,180","2,226","±993","1,527","±686","1,444","±722","","","1,079","±685","","","","","1,727","±1,181","","","3,673","±1,376","","","7,333","±2,038","1,406","±577","","","1,653","±886","255","±249","774","±678","1,816","±998","","","161","±191","","","769","±805","3,603","±1,437","75","±117","","","1,321","±657","1,126","±646","","","410","±470","","","",""
"            Uzbekistan","","","","","549","±355","","","6,236","±1,832","921","±694","613","±554","","","","","3,925","±1,762","390","±285","","","","","2,067","±1,069","381","±521","","","","","314","±265","","","","","1,505","±1,169","1,325","±840","363","±285","481","±604","","","163","±190","","","","","66","±82","","","2,439","±1,067","","","34,293","±5,477","192","±155","","","3,312","±2,293","0","±165","440","±387","5,531","±2,341","","","127","±147","","","534","±530","1,475","±706","125","±211","","","2,870","±2,130","1,865","±1,007","","","168","±206","","","",""
"            Other South Central Asia","","","","","757","±825","","","3,713","±1,143","1,158","±1,043","184","±234","","","","","2,584","±1,919","47","±79","","","","","4,207","±1,879","177","±186","","","","","0","±206","","","","","172","±259","486","±450","242","±241","192","±178","","","516","±441","","","","","42","±69","","","1,032","±766","","","5,627","±1,675","396","±492","","","443","±285","16","±26","279","±204","844","±637","","","240","±295","","","0","±226","2,718","±1,506","199","±251","","","791","±529","3,182","±1,608","","","228","±227","","","",""
"        South Eastern Asia:","","","","","71,246","±6,615","","","1,596,018","±24,842","41,413","±4,609","25,120","±3,496","","","","","183,261","±10,003","91,688","±5,882","","","","","138,762","±8,104","48,598","±4,699","","","","","15,975","±2,834","","","","","72,334","±6,214","79,061","±6,574","44,440","±4,419","85,925","±5,000","","","31,593","±3,542","","","","","118,965","±7,652","","","122,647","±7,233","","","160,557","±7,531","71,160","±6,233","","","50,923","±4,569","31,355","±2,646","51,589","±4,643","70,780","±6,334","","","24,339","±3,081","","","30,628","±3,756","384,655","±13,564","21,339","±3,146","","","118,409","±7,347","174,387","±8,277","","","44,494","±3,626","","","",""
"            Burma (Myanmar)","","","","","3,699","±3,213","","","28,563","±4,480","1,179","±1,138","0","±222","","","","","5,811","±1,792","5,346","±1,918","","","","","7,557","±4,207","15,530","±2,821","","","","","2,054","±1,161","","","","","6,243","±2,955","1,140","±709","4,420","±1,206","6,298","±1,700","","","1,669","±987","","","","","552","±749","","","2,054","±1,219","","","13,708","±2,447","4,261","±1,518","","","2,874","±1,606","3,950","±1,278","663","±423","2,316","±1,327","","","649","±482","","","2,868","±1,598","11,355","±3,479","785","±736","","","1,497","±766","2,907","±1,503","","","4,398","±2,147","","","",""
"            Cambodia","","","","","1,723","±798","","","51,299","±5,794","1,509","±987","3,288","±1,858","","","","","3,912","±1,287","1,685","±807","","","","","2,211","±817","786","±621","","","","","1,453","±1,196","","","","","2,337","±1,238","17,175","±3,210","1,213","±752","5,157","±1,521","","","708","±622","","","","","2,233","±1,760","","","464","±464","","","3,241","±980","3,277","±1,557","","","3,179","±1,633","180","±141","1,756","±1,016","5,686","±1,804","","","1,688","±908","","","1,554","±925","9,898","±2,653","680","±428","","","4,280","±1,387","10,017","±2,511","","","1,429","±1,159","","","",""
"            Indonesia","","","","","1,844","±769","","","30,351","±3,473","2,431","±1,215","812","±456","","","","","2,517","±1,032","1,667","±950","","","","","2,326","±968","738","±572","","","","","398","±405","","","","","1,003","±448","1,667","±764","975","±551","1,081","±643","","","799","±546","","","","","3,428","±1,308","","","3,150","±1,876","","","6,086","±1,963","1,073","±515","","","1,592","±766","212","±164","1,077","±675","2,969","±1,372","","","293","±298","","","731","±507","5,642","±1,746","504","±474","","","3,741","±1,193","6,009","±2,019","","","486","±342","","","",""
"            Laos","","","","","1,167","±902","","","41,901","±5,076","1,148","±668","2,040","±1,058","","","","","4,578","±1,833","4,699","±1,373","","","","","3,807","±1,269","861","±642","","","","","709","±451","","","","","295","±211","4,423","±1,848","2,253","±784","20,485","±2,785","","","585","±396","","","","","1,202","±593","","","534","±346","","","1,644","±675","6,291","±1,655","","","2,270","±1,226","3,234","±729","4,230","±1,539","2,894","±1,216","","","840","±645","","","4,471","±1,481","8,336","±2,537","728","±481","","","2,809","±1,101","4,698","±1,508","","","14,370","±2,358","","","",""
"            Malaysia","","","","","2,499","±1,157","","","19,225","±2,922","633","±551","486","±449","","","","","3,345","±1,255","2,955","±1,562","","","","","3,127","±1,161","2,061","±1,203","","","","","965","±728","","","","","1,138","±689","1,676","±723","1,679","±1,173","578","±330","","","1,015","±405","","","","","1,068","±566","","","3,335","±1,587","","","10,310","±2,124","1,237","±683","","","1,872","±1,584","1,097","±503","1,403","±755","3,278","±1,487","","","146","±116","","","959","±595","7,442","±2,030","772","±660","","","2,003","±973","2,083","±772","","","1,055","±816","","","",""
"            Philippines","","","","","34,650","±4,549","","","821,136","±21,344","12,906","±2,060","10,148","±2,018","","","","","90,044","±6,376","21,626","±3,142","","","","","95,125","±6,026","15,382","±2,821","","","","","6,967","±1,773","","","","","39,204","±4,665","12,274","±2,536","18,753","±2,842","14,551","±3,252","","","10,692","±1,943","","","","","93,776","±7,618","","","88,714","±6,524","","","84,075","±6,429","23,180","±3,327","","","21,161","±3,138","6,474","±1,315","16,147","±2,782","20,854","±3,076","","","11,494","±2,261","","","10,383","±2,145","121,605","±7,901","8,847","±2,644","","","52,665","±4,849","75,105","±5,932","","","7,896","±1,532","","","",""
"            Singapore","","","","","830","±417","","","12,360","±2,333","544","±428","625","±311","","","","","1,010","±495","475","±333","","","","","1,199","±514","38","±77","","","","","0","±206","","","","","931","±636","1,053","±377","342","±340","826","±523","","","336","±322","","","","","328","±260","","","1,078","±735","","","4,024","±1,392","576","±376","","","186","±168","56","±99","422","±324","621","±336","","","0","±225","","","736","±688","4,074","±1,577","217","±240","","","1,684","±749","2,164","±770","","","36","±62","","","",""
"            Thailand","","","","","4,050","±1,310","","","65,541","±5,891","3,675","±1,245","1,431","±672","","","","","12,227","±2,729","5,797","±1,633","","","","","6,253","±2,115","4,099","±1,661","","","","","1,015","±716","","","","","2,589","±758","4,824","±1,361","2,533","±860","19,127","±3,025","","","3,576","±1,708","","","","","5,203","±2,006","","","1,983","±846","","","12,262","±2,241","5,796","±1,961","","","4,482","±1,141","2,246","±629","5,915","±1,948","5,034","±1,998","","","2,539","±964","","","1,341","±850","14,589","±2,591","2,449","±1,120","","","8,835","±3,140","11,124","±2,634","","","11,332","±2,308","","","",""
